Subject,Alphabet,WPM
1,Unistrokes,11.85
2,Graffiti,13.03
3,EdgeWrite,7.07
4,Unistrokes,20.19
5,Graffiti,9.22
6,EdgeWrite,23.68
7,Unistrokes,14.18
8,Graffiti,16.97
9,EdgeWrite,7.28
10,Unistrokes,21.36
11,Graffiti,18.94
12,EdgeWrite,21.65
13,Unistrokes,11.65
14,Graffiti,18.61
15,EdgeWrite,18.09
16,Unistrokes,3.96
17,Graffiti,11.83
18,EdgeWrite,19.05
19,Unistrokes,9.61
20,Graffiti,23.21
21,EdgeWrite,11.1
22,Unistrokes,4.15
23,Graffiti,13.86
24,EdgeWrite,14.18
25,Unistrokes,12.34
26,Graffiti,22.54
27,EdgeWrite,17.34
28,Unistrokes,8.46
29,Graffiti,9.78
30,EdgeWrite,28.35
31,Unistrokes,8.21
32,Graffiti,11.86
33,EdgeWrite,18.23
34,Unistrokes,6.99
35,Graffiti,11.46
36,EdgeWrite,19.9
37,Unistrokes,9.45
38,Graffiti,17.03
39,EdgeWrite,8.46
40,Unistrokes,6.2
41,Graffiti,16.25
42,EdgeWrite,18.26
43,Unistrokes,16.61
44,Graffiti,17.6
45,EdgeWrite,13.03
46,Unistrokes,15.24
47,Graffiti,13.31
48,EdgeWrite,25.58
49,Unistrokes,20.21
50,Graffiti,16.82
51,EdgeWrite,10.31
52,Unistrokes,6.07
53,Graffiti,11.97
54,EdgeWrite,24.81
55,Unistrokes,6.97
56,Graffiti,17.12
57,EdgeWrite,12.83
58,Unistrokes,13.73
59,Graffiti,9.38
60,EdgeWrite,23.6
