Subject,Keyboard,Posture,Posture_Order,WPM,Error_Rate
1,iPhone,Sit,1,20.2145,0.022
1,iPhone,Stand,2,23.7485,0.03
1,iPhone,Walk,3,20.796,0.0415
2,iPhone,Sit,1,20.8805,0.022
2,iPhone,Stand,3,23.2595,0.0255
2,iPhone,Walk,2,19.1305,0.0355
3,iPhone,Sit,2,21.2635,0.018
3,iPhone,Stand,1,23.4945,0.0285
3,iPhone,Walk,3,20.8545,0.0395
4,iPhone,Sit,2,20.708,0.019
4,iPhone,Stand,3,23.922,0.035
4,iPhone,Walk,1,18.2575,0.0405
5,iPhone,Sit,3,21.0075,0.017
5,iPhone,Stand,1,23.47,0.0305
5,iPhone,Walk,2,17.7105,0.05
6,iPhone,Sit,3,19.9115,0.0225
6,iPhone,Stand,2,24.2975,0.032
6,iPhone,Walk,1,19.855,0.0415
7,iPhone,Sit,1,22.105,0.0155
7,iPhone,Stand,2,25.38,0.031
7,iPhone,Walk,3,17.513,0.0375
8,iPhone,Sit,1,20.573,0.0235
8,iPhone,Stand,3,25.143,0.0285
8,iPhone,Walk,2,20.624,0.0355
9,iPhone,Sit,2,21.023,0.0205
9,iPhone,Stand,1,23.3525,0.031
9,iPhone,Walk,3,17.593,0.042
10,iPhone,Sit,2,20.1915,0.0205
10,iPhone,Stand,3,22.404,0.0275
10,iPhone,Walk,1,18.975,0.04
11,iPhone,Sit,3,22.025,0.0175
11,iPhone,Stand,1,23.9685,0.0315
11,iPhone,Walk,2,21.0245,0.04
12,iPhone,Sit,3,21.587,0.0205
12,iPhone,Stand,2,24.5555,0.027
12,iPhone,Walk,1,18.4755,0.035
13,Galaxy,Sit,1,23.571,0.018
13,Galaxy,Stand,2,21.6545,0.025
13,Galaxy,Walk,3,12.941,0.0685
14,Galaxy,Sit,1,23.6255,0.022
14,Galaxy,Stand,3,21.0405,0.0305
14,Galaxy,Walk,2,11.123,0.051
15,Galaxy,Sit,2,23.9875,0.0185
15,Galaxy,Stand,1,21.0105,0.037
15,Galaxy,Walk,3,11.515,0.0695
16,Galaxy,Sit,2,23.4685,0.018
16,Galaxy,Stand,3,20.644,0.0275
16,Galaxy,Walk,1,11.9435,0.061
17,Galaxy,Sit,3,23.556,0.019
17,Galaxy,Stand,1,21.061,0.036
17,Galaxy,Walk,2,13.578,0.0665
18,Galaxy,Sit,3,24.405,0.0225
18,Galaxy,Stand,2,22.2575,0.031
18,Galaxy,Walk,1,11.357,0.067
19,Galaxy,Sit,1,24.3895,0.02
19,Galaxy,Stand,2,22.051,0.029
19,Galaxy,Walk,3,9.4535,0.065
20,Galaxy,Sit,1,23.5765,0.0235
20,Galaxy,Stand,3,21.241,0.025
20,Galaxy,Walk,2,11.038,0.0665
21,Galaxy,Sit,2,24.882,0.0205
21,Galaxy,Stand,1,20.9435,0.033
21,Galaxy,Walk,3,12.379,0.068
22,Galaxy,Sit,2,23.373,0.015
22,Galaxy,Stand,3,21.775,0.0355
22,Galaxy,Walk,1,14.027,0.0605
23,Galaxy,Sit,3,24.052,0.019
23,Galaxy,Stand,1,19.1295,0.028
23,Galaxy,Walk,2,12.8355,0.0555
24,Galaxy,Sit,3,24.031,0.017
24,Galaxy,Stand,2,21.494,0.0305
24,Galaxy,Walk,1,12.596,0.0595
