Subject,Phone,Notes,Order,Words
1,iPhone,Built-in,1,561
1,iPhone,Add-on,2,464
2,Android,Built-in,1,428
2,Android,Add-on,2,433
3,iPhone,Built-in,2,586
3,iPhone,Add-on,1,598
4,Android,Built-in,2,448
4,Android,Add-on,1,347
5,iPhone,Built-in,1,543
5,iPhone,Add-on,2,478
6,Android,Built-in,1,445
6,Android,Add-on,2,365
7,iPhone,Built-in,2,436
7,iPhone,Add-on,1,462
8,Android,Built-in,2,343
8,Android,Add-on,1,348
9,iPhone,Built-in,1,566
9,iPhone,Add-on,2,529
10,Android,Built-in,1,505
10,Android,Add-on,2,407
11,iPhone,Built-in,2,563
11,iPhone,Add-on,1,486
12,Android,Built-in,2,463
12,Android,Add-on,1,395
13,iPhone,Built-in,1,581
13,iPhone,Add-on,2,517
14,Android,Built-in,1,317
14,Android,Add-on,2,423
15,iPhone,Built-in,2,500
15,iPhone,Add-on,1,440
16,Android,Built-in,2,449
16,Android,Add-on,1,312
17,iPhone,Built-in,1,491
17,iPhone,Add-on,2,523
18,Android,Built-in,1,259
18,Android,Add-on,2,418
19,iPhone,Built-in,2,510
19,iPhone,Add-on,1,545
20,Android,Built-in,2,452
20,Android,Add-on,1,433
