Subject,Teaser,Order,Liked
1,action,1,1
1,comedy,2,0
1,horror,5,0
1,romance,3,1
1,thriller,4,0
2,action,2,0
2,comedy,3,1
2,horror,1,0
2,romance,4,1
2,thriller,5,1
3,action,3,1
3,comedy,4,0
3,horror,2,0
3,romance,5,1
3,thriller,1,0
4,action,4,1
4,comedy,5,0
4,horror,3,0
4,romance,1,1
4,thriller,2,1
5,action,5,1
5,comedy,1,0
5,horror,4,0
5,romance,2,0
5,thriller,3,1
6,action,4,1
6,comedy,3,0
6,horror,5,0
6,romance,2,0
6,thriller,1,1
7,action,5,1
7,comedy,4,0
7,horror,1,1
7,romance,3,0
7,thriller,2,1
8,action,1,1
8,comedy,5,1
8,horror,2,0
8,romance,4,1
8,thriller,3,1
9,action,2,1
9,comedy,1,0
9,horror,3,0
9,romance,5,0
9,thriller,4,1
10,action,3,1
10,comedy,2,0
10,horror,4,0
10,romance,1,1
10,thriller,5,0
11,action,1,1
11,comedy,2,0
11,horror,5,0
11,romance,3,1
11,thriller,4,1
12,action,2,1
12,comedy,3,1
12,horror,1,0
12,romance,4,0
12,thriller,5,1
13,action,3,1
13,comedy,4,0
13,horror,2,0
13,romance,5,1
13,thriller,1,1
14,action,4,1
14,comedy,5,0
14,horror,3,0
14,romance,1,1
14,thriller,2,1
15,action,5,1
15,comedy,1,1
15,horror,4,0
15,romance,2,1
15,thriller,3,1
16,action,4,1
16,comedy,3,0
16,horror,5,0
16,romance,2,1
16,thriller,1,1
17,action,5,1
17,comedy,4,1
17,horror,1,1
17,romance,3,0
17,thriller,2,0
18,action,1,1
18,comedy,5,0
18,horror,2,0
18,romance,4,0
18,thriller,3,1
19,action,2,1
19,comedy,1,1
19,horror,3,0
19,romance,5,1
19,thriller,4,1
20,action,3,1
20,comedy,2,0
20,horror,4,0
20,romance,1,0
20,thriller,5,1
